IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::STATICINVOKE::<spec.benchmarks.serial.Utils: java.util.BitSet createBitSet()>::75
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::sun.security.x509.GeneralSubtrees::r3::<sun.security.x509.GeneralSubtrees: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.awt.Dimension::r3::<java.awt.Dimension: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::javax.management.openmbean.OpenMBeanAttributeInfoSupport::r3::<javax.management.openmbean.OpenMBeanAttributeInfoSupport: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.util.jar.Manifest::r3::<java.util.jar.Manifest: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::com.sun.org.apache.xerces.internal.impl.xs.XSElementDecl::r3::<com.sun.org.apache.xerces.internal.impl.xs.XSElementDecl: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.time.ZoneOffset::r3::<java.time.ZoneOffset: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::sun.nio.fs.UnixPath::r3::<sun.nio.fs.UnixPath: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::sun.security.util.DerValue::r3::<sun.security.util.DerValue: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::sun.reflect.generics.reflectiveObjects.WildcardTypeImpl::r3::<sun.reflect.generics.reflectiveObjects.WildcardTypeImpl: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.security.UnresolvedPermission::r3::<java.security.UnresolvedPermission: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.util.Hashtable$Entry::r3::<java.util.Hashtable$Entry: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.util.Collections$CheckedList::r3::<java.util.Collections$CheckedList: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::javax.management.openmbean.CompositeDataSupport::r3::<javax.management.openmbean.CompositeDataSupport: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::com.sun.org.apache.xerces.internal.impl.dv.xs.ListDV$ListData::r3::<com.sun.org.apache.xerces.internal.impl.dv.xs.ListDV$ListData: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.lang.reflect.Field::r3::<java.lang.reflect.Field: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.net.Inet4Address::r3::<java.net.Inet4Address: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.util.AbstractMap$SimpleEntry::r3::<java.util.AbstractMap$SimpleEntry: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.util.concurrent.ConcurrentHashMap$EntrySetView::r3::<java.util.concurrent.ConcurrentHashMap$EntrySetView: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::javax.management.MBeanAttributeInfo::r3::<javax.management.MBeanAttributeInfo: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.lang.Short::r3::<java.lang.Short: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.util.Locale::r3::<java.util.Locale: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::sun.font.StandardGlyphVector::r3::<sun.font.StandardGlyphVector: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::sun.swing.text.TextComponentPrintable$IntegerSegment::r3::<sun.swing.text.TextComponentPrintable$IntegerSegment: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.util.OptionalInt::r3::<java.util.OptionalInt: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.text.RuleBasedCollator::r3::<java.text.RuleBasedCollator: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::sun.security.provider.PolicyParser$PrincipalEntry::r3::<sun.security.provider.PolicyParser$PrincipalEntry: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::javax.management.openmbean.OpenMBeanOperationInfoSupport::r3::<javax.management.openmbean.OpenMBeanOperationInfoSupport: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.util.AbstractMap$SimpleImmutableEntry::r3::<java.util.AbstractMap$SimpleImmutableEntry: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::com.sun.org.apache.xpath.internal.objects.XString::r3::<com.sun.org.apache.xpath.internal.objects.XString: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.util.Collections$EmptyList::r3::<java.util.Collections$EmptyList: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::sun.misc.SoftCache$Entry::r3::<sun.misc.SoftCache$Entry: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.io.FilePermission::r3::<java.io.FilePermission: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::com.sun.org.apache.xerces.internal.xni.QName::r3::<com.sun.org.apache.xerces.internal.xni.QName: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::com.sun.org.apache.xml.internal.dtm.ref.DTMNodeProxy::r3::<com.sun.org.apache.xml.internal.dtm.ref.DTMNodeProxy: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.util.Collections$SynchronizedMap::r3::<java.util.Collections$SynchronizedMap: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::sun.security.x509.X509CRLImpl$X509IssuerSerial::r3::<sun.security.x509.X509CRLImpl$X509IssuerSerial: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::com.sun.org.apache.xerces.internal.impl.dv.xs.Base64BinaryDV$XBase64::r3::<com.sun.org.apache.xerces.internal.impl.dv.xs.Base64BinaryDV$XBase64: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.io.File::r3::<java.io.File: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::sun.reflect.generics.reflectiveObjects.ParameterizedTypeImpl::r3::<sun.reflect.generics.reflectiveObjects.ParameterizedTypeImpl: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.util.EnumMap$EntryIterator$Entry::r3::<java.util.EnumMap$EntryIterator$Entry: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.lang.Byte::r3::<java.lang.Byte: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::sun.awt.im.InputMethodLocator::r3::<sun.awt.im.InputMethodLocator: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.util.IdentityHashMap::r3::<java.util.IdentityHashMap: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::com.sun.jmx.mbeanserver.WeakIdentityHashMap$IdentityWeakReference::r3::<com.sun.jmx.mbeanserver.WeakIdentityHashMap$IdentityWeakReference: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.awt.datatransfer.DataFlavor::r3::<java.awt.datatransfer.DataFlavor: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::com.sun.beans.WildcardTypeImpl::r3::<com.sun.beans.WildcardTypeImpl: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::sun.awt.SunHints$Value::r3::<sun.awt.SunHints$Value: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.lang.ProcessEnvironment$Value::r3::<java.lang.ProcessEnvironment$Value: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::javax.swing.text.html.HTML$UnknownTag::r3::<javax.swing.text.html.HTML$UnknownTag: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.util.Collections$SynchronizedList::r3::<java.util.Collections$SynchronizedList: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::com.sun.org.apache.xalan.internal.xsltc.compiler.QName::r3::<com.sun.org.apache.xalan.internal.xsltc.compiler.QName: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.net.HttpCookie::r3::<java.net.HttpCookie: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::sun.util.calendar.Era::r3::<sun.util.calendar.Era: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.time.zone.ZoneOffsetTransitionRule::r3::<java.time.zone.ZoneOffsetTransitionRule: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::sun.awt.OSInfo$WindowsVersion::r3::<sun.awt.OSInfo$WindowsVersion: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.util.Collections$SynchronizedSet::r3::<java.util.Collections$SynchronizedSet: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.time.zone.ZoneRules::r3::<java.time.zone.ZoneRules: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.lang.ProcessEnvironment$Variable::r3::<java.lang.ProcessEnvironment$Variable: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.util.concurrent.ConcurrentHashMap$KeySetView::r3::<java.util.concurrent.ConcurrentHashMap$KeySetView: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::com.sun.org.apache.xerces.internal.impl.dv.xs.PrecisionDecimalDV$XPrecisionDecimal::r3::<com.sun.org.apache.xerces.internal.impl.dv.xs.PrecisionDecimalDV$XPrecisionDecimal: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::sun.security.x509.GeneralName::r3::<sun.security.x509.GeneralName: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.lang.reflect.Method::r3::<java.lang.reflect.Method: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::com.sun.org.apache.xerces.internal.impl.dv.xs.FloatDV$XFloat::r3::<com.sun.org.apache.xerces.internal.impl.dv.xs.FloatDV$XFloat: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::sun.security.x509.RDN::r3::<sun.security.x509.RDN: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.util.jar.Attributes::r3::<java.util.jar.Attributes: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::sun.util.calendar.ZoneInfo::r3::<sun.util.calendar.ZoneInfo: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.awt.Insets::r3::<java.awt.Insets: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.lang.Boolean::r3::<java.lang.Boolean: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::sun.util.PreHashedMap$2$1$1::r3::<sun.util.PreHashedMap$2$1$1: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.security.AccessControlContext::r3::<java.security.AccessControlContext: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.lang.invoke.LambdaForm::r3::<java.lang.invoke.LambdaForm: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.util.Collections$CopiesList::r3::<java.util.Collections$CopiesList: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::com.sun.org.apache.xerces.internal.impl.dv.xs.QNameDV$XQName::r3::<com.sun.org.apache.xerces.internal.impl.dv.xs.QNameDV$XQName: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.util.IdentityHashMap$EntryIterator$Entry::r3::<java.util.IdentityHashMap$EntryIterator$Entry: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.lang.Character::r3::<java.lang.Character: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::sun.security.util.ObjectIdentifier::r3::<sun.security.util.ObjectIdentifier: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.util.Collections$UnmodifiableList::r3::<java.util.Collections$UnmodifiableList: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.lang.ProcessEnvironment$StringValues::r3::<java.lang.ProcessEnvironment$StringValues: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::javax.management.openmbean.SimpleType::r3::<javax.management.openmbean.SimpleType: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.awt.AWTKeyStroke::r3::<java.awt.AWTKeyStroke: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::com.sun.org.apache.xpath.internal.objects.XStringForFSB::r3::<com.sun.org.apache.xpath.internal.objects.XStringForFSB: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.awt.Font::r3::<java.awt.Font: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::sun.security.util.BitArray::r3::<sun.security.util.BitArray: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.awt.Rectangle::r3::<java.awt.Rectangle: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.util.Collections$UnmodifiableMap$UnmodifiableEntrySet$UnmodifiableEntry::r3::<java.util.Collections$UnmodifiableMap$UnmodifiableEntrySet$UnmodifiableEntry: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::sun.security.util.Cache$EqualByteArray::r3::<sun.security.util.Cache$EqualByteArray: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::javax.print.MimeType$ParameterMapEntry::r3::<javax.print.MimeType$ParameterMapEntry: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.security.CodeSigner::r3::<java.security.CodeSigner: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.util.Collections$CheckedMap$CheckedEntrySet$CheckedEntry::r3::<java.util.Collections$CheckedMap$CheckedEntrySet$CheckedEntry: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.lang.invoke.MethodType::r3::<java.lang.invoke.MethodType: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::com.sun.org.apache.xerces.internal.impl.xs.traversers.XSDHandler$XSDKey::r3::<com.sun.org.apache.xerces.internal.impl.xs.traversers.XSDHandler$XSDKey: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.lang.Long::r3::<java.lang.Long: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::com.sun.org.apache.xerces.internal.xinclude.XIncludeHandler$Notation::r3::<com.sun.org.apache.xerces.internal.xinclude.XIncludeHandler$Notation: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::javax.management.MBeanConstructorInfo::r3::<javax.management.MBeanConstructorInfo: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::javax.swing.text.SimpleAttributeSet::r3::<javax.swing.text.SimpleAttributeSet: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.util.concurrent.ConcurrentHashMap$MapEntry::r3::<java.util.concurrent.ConcurrentHashMap$MapEntry: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::com.sun.org.apache.bcel.internal.generic.LocalVariableGen::r3::<com.sun.org.apache.bcel.internal.generic.LocalVariableGen: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.lang.ProcessEnvironment$StringEntry::r3::<java.lang.ProcessEnvironment$StringEntry: boolean equals(java.lang.Object)>::89
