IN METHOD::<spec.harness.analyzer.PowerAnalyzer: void tearDown()>::STATICINVOKE::<spec.harness.Context: java.io.PrintStream getOut()>::121
IN METHOD::<spec.harness.analyzer.PowerAnalyzer: void tearDown()>::STATICINVOKE::<java.lang.Double: double parseDouble(java.lang.String)>::138
IN METHOD::<spec.harness.analyzer.PowerAnalyzer: void tearDown()>::SPECIALINVOKE::<java.lang.StringBuilder: void <init>()>::138
IN METHOD::<spec.harness.analyzer.PowerAnalyzer: void tearDown()>::SPECIALINVOKE::<spec.harness.analyzer.PowerAnalyzer$PowerConsumtionResult: void <init>(double,java.lang.String,java.lang.String)>::138
IN METHOD::<spec.harness.analyzer.PowerAnalyzer: void tearDown()>::STATICINVOKE::<java.lang.Double: double parseDouble(java.lang.String)>::139
IN METHOD::<spec.harness.analyzer.PowerAnalyzer: void tearDown()>::SPECIALINVOKE::<java.lang.StringBuilder: void <init>()>::139
IN METHOD::<spec.harness.analyzer.PowerAnalyzer: void tearDown()>::SPECIALINVOKE::<spec.harness.analyzer.PowerAnalyzer$PowerConsumtionResult: void <init>(double,java.lang.String,java.lang.String)>::139
IN METHOD::<spec.harness.analyzer.PowerAnalyzer: void tearDown()>::STATICINVOKE::<java.lang.Double: double parseDouble(java.lang.String)>::140
IN METHOD::<spec.harness.analyzer.PowerAnalyzer: void tearDown()>::SPECIALINVOKE::<java.lang.StringBuilder: void <init>()>::140
IN METHOD::<spec.harness.analyzer.PowerAnalyzer: void tearDown()>::SPECIALINVOKE::<spec.harness.analyzer.PowerAnalyzer$PowerConsumtionResult: void <init>(double,java.lang.String,java.lang.String)>::140
IN METHOD::<spec.harness.analyzer.PowerAnalyzer: void tearDown()>::STATICINVOKE::<java.lang.Double: double parseDouble(java.lang.String)>::142
IN METHOD::<spec.harness.analyzer.PowerAnalyzer: void tearDown()>::SPECIALINVOKE::<java.lang.StringBuilder: void <init>()>::142
IN METHOD::<spec.harness.analyzer.PowerAnalyzer: void tearDown()>::SPECIALINVOKE::<spec.harness.analyzer.PowerAnalyzer$PowerConsumtionResult: void <init>(double,java.lang.String,java.lang.String)>::142
IN METHOD::<spec.harness.analyzer.PowerAnalyzer: void tearDown()>::STATICINVOKE::<java.lang.Double: double parseDouble(java.lang.String)>::143
IN METHOD::<spec.harness.analyzer.PowerAnalyzer: void tearDown()>::SPECIALINVOKE::<java.lang.StringBuilder: void <init>()>::143
IN METHOD::<spec.harness.analyzer.PowerAnalyzer: void tearDown()>::SPECIALINVOKE::<spec.harness.analyzer.PowerAnalyzer$PowerConsumtionResult: void <init>(double,java.lang.String,java.lang.String)>::143
IN METHOD::<spec.harness.analyzer.PowerAnalyzer: void tearDown()>::STATICINVOKE::<java.lang.Double: double parseDouble(java.lang.String)>::144
IN METHOD::<spec.harness.analyzer.PowerAnalyzer: void tearDown()>::SPECIALINVOKE::<java.lang.StringBuilder: void <init>()>::144
IN METHOD::<spec.harness.analyzer.PowerAnalyzer: void tearDown()>::SPECIALINVOKE::<spec.harness.analyzer.PowerAnalyzer$PowerConsumtionResult: void <init>(double,java.lang.String,java.lang.String)>::144
IN METHOD::<spec.harness.analyzer.PowerAnalyzer: void tearDown()>::STATICINVOKE::<java.lang.Double: double parseDouble(java.lang.String)>::145
IN METHOD::<spec.harness.analyzer.PowerAnalyzer: void tearDown()>::SPECIALINVOKE::<java.lang.StringBuilder: void <init>()>::145
IN METHOD::<spec.harness.analyzer.PowerAnalyzer: void tearDown()>::SPECIALINVOKE::<spec.harness.analyzer.PowerAnalyzer$PowerConsumtionResult: void <init>(double,java.lang.String,java.lang.String)>::145
IN METHOD::<spec.harness.analyzer.PowerAnalyzer: void tearDown()>::STATICINVOKE::<java.lang.Double: double parseDouble(java.lang.String)>::146
IN METHOD::<spec.harness.analyzer.PowerAnalyzer: void tearDown()>::SPECIALINVOKE::<java.lang.StringBuilder: void <init>()>::146
IN METHOD::<spec.harness.analyzer.PowerAnalyzer: void tearDown()>::SPECIALINVOKE::<spec.harness.analyzer.PowerAnalyzer$PowerConsumtionResult: void <init>(double,java.lang.String,java.lang.String)>::146
IN METHOD::<spec.harness.analyzer.PowerAnalyzer: void tearDown()>::STATICINVOKE::<java.lang.Double: double parseDouble(java.lang.String)>::148
IN METHOD::<spec.harness.analyzer.PowerAnalyzer: void tearDown()>::SPECIALINVOKE::<java.lang.StringBuilder: void <init>()>::148
IN METHOD::<spec.harness.analyzer.PowerAnalyzer: void tearDown()>::SPECIALINVOKE::<spec.harness.analyzer.PowerAnalyzer$PowerConsumtionResult: void <init>(double,java.lang.String,java.lang.String)>::148
IN METHOD::<spec.harness.analyzer.PowerAnalyzer: void tearDown()>::STATICINVOKE::<java.lang.Double: double parseDouble(java.lang.String)>::149
IN METHOD::<spec.harness.analyzer.PowerAnalyzer: void tearDown()>::SPECIALINVOKE::<java.lang.StringBuilder: void <init>()>::149
IN METHOD::<spec.harness.analyzer.PowerAnalyzer: void tearDown()>::SPECIALINVOKE::<spec.harness.analyzer.PowerAnalyzer$PowerConsumtionResult: void <init>(double,java.lang.String,java.lang.String)>::149
IN METHOD::<spec.harness.analyzer.PowerAnalyzer: void tearDown()>::STATICINVOKE::<java.lang.Double: double parseDouble(java.lang.String)>::150
IN METHOD::<spec.harness.analyzer.PowerAnalyzer: void tearDown()>::SPECIALINVOKE::<java.lang.StringBuilder: void <init>()>::150
IN METHOD::<spec.harness.analyzer.PowerAnalyzer: void tearDown()>::SPECIALINVOKE::<spec.harness.analyzer.PowerAnalyzer$PowerConsumtionResult: void <init>(double,java.lang.String,java.lang.String)>::150
IN METHOD::<spec.harness.analyzer.PowerAnalyzer: void tearDown()>::STATICINVOKE::<java.lang.Double: double parseDouble(java.lang.String)>::151
IN METHOD::<spec.harness.analyzer.PowerAnalyzer: void tearDown()>::SPECIALINVOKE::<java.lang.StringBuilder: void <init>()>::151
IN METHOD::<spec.harness.analyzer.PowerAnalyzer: void tearDown()>::SPECIALINVOKE::<spec.harness.analyzer.PowerAnalyzer$PowerConsumtionResult: void <init>(double,java.lang.String,java.lang.String)>::151
IN METHOD::<spec.harness.analyzer.PowerAnalyzer: void tearDown()>::STATICINVOKE::<java.lang.Double: double parseDouble(java.lang.String)>::152
IN METHOD::<spec.harness.analyzer.PowerAnalyzer: void tearDown()>::SPECIALINVOKE::<java.lang.StringBuilder: void <init>()>::152
IN METHOD::<spec.harness.analyzer.PowerAnalyzer: void tearDown()>::SPECIALINVOKE::<spec.harness.analyzer.PowerAnalyzer$PowerConsumtionResult: void <init>(double,java.lang.String,java.lang.String)>::152
IN METHOD::<spec.harness.analyzer.PowerAnalyzer: void tearDown()>::STATICINVOKE::<java.lang.Double: double parseDouble(java.lang.String)>::155
IN METHOD::<spec.harness.analyzer.PowerAnalyzer: void tearDown()>::STATICINVOKE::<java.lang.Double: java.lang.Double valueOf(double)>::155
IN METHOD::<spec.harness.analyzer.PowerAnalyzer: void tearDown()>::SPECIALINVOKE::<java.lang.StringBuilder: void <init>()>::157
IN METHOD::<spec.harness.analyzer.PowerAnalyzer: void tearDown()>::STATICINVOKE::<java.lang.Double: double parseDouble(java.lang.String)>::159
IN METHOD::<spec.harness.analyzer.PowerAnalyzer: void tearDown()>::STATICINVOKE::<java.lang.Double: java.lang.Double valueOf(double)>::159
IN METHOD::<spec.harness.analyzer.PowerAnalyzer: void tearDown()>::SPECIALINVOKE::<java.lang.StringBuilder: void <init>()>::161
IN METHOD::<spec.harness.analyzer.PowerAnalyzer: void tearDown()>::STATICINVOKE::<java.lang.Double: double parseDouble(java.lang.String)>::163
IN METHOD::<spec.harness.analyzer.PowerAnalyzer: void tearDown()>::STATICINVOKE::<java.lang.Double: java.lang.Double valueOf(double)>::163
IN METHOD::<spec.harness.analyzer.PowerAnalyzer: void tearDown()>::SPECIALINVOKE::<java.lang.StringBuilder: void <init>()>::165
IN METHOD::<spec.harness.analyzer.PowerAnalyzer: void tearDown()>::STATICINVOKE::<java.lang.Double: double parseDouble(java.lang.String)>::167
IN METHOD::<spec.harness.analyzer.PowerAnalyzer: void tearDown()>::STATICINVOKE::<java.lang.Double: java.lang.Double valueOf(double)>::167
IN METHOD::<spec.harness.analyzer.PowerAnalyzer: void tearDown()>::SPECIALINVOKE::<java.lang.StringBuilder: void <init>()>::169
