IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::STATICINVOKE::<spec.benchmarks.serial.Utils: java.util.BitSet createBitSet()>::75
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.util.BitSet::r1::<java.util.BitSet: boolean get(int)>::92
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.lang.Object::r3::<java.lang.Object: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.lang.String::r3::<java.lang.String: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.lang.StackTraceElement::r3::<java.lang.StackTraceElement: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::sun.security.util.DerInputBuffer::r3::<sun.security.util.DerInputBuffer: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.security.AllPermission::r3::<java.security.AllPermission: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.util.PropertyPermission::r3::<java.util.PropertyPermission: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::javax.management.MBeanServerPermission::r3::<javax.management.MBeanServerPermission: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.security.BasicPermission::r3::<java.security.BasicPermission: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.io.FilePermission::r3::<java.io.FilePermission: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.net.SocketPermission::r3::<java.net.SocketPermission: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.security.UnresolvedPermission::r3::<java.security.UnresolvedPermission: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.net.URLPermission::r3::<java.net.URLPermission: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::sun.security.provider.PolicyFile$SelfPermission::r3::<sun.security.provider.PolicyFile$SelfPermission: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::javax.security.auth.PrivateCredentialPermission::r3::<javax.security.auth.PrivateCredentialPermission: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::javax.management.MBeanPermission::r3::<javax.management.MBeanPermission: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.security.Permission::r3::<java.security.Permission: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.lang.Enum::r3::<java.lang.Enum: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.lang.Character::r3::<java.lang.Character: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.lang.Boolean::r3::<java.lang.Boolean: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.util.BitSet::r3::<java.util.BitSet: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.security.AccessControlContext::r3::<java.security.AccessControlContext: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.lang.invoke.LambdaFormEditor$Transform::r3::<java.lang.invoke.LambdaFormEditor$Transform: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.io.ObjectStreamClass$WeakClassKey::r3::<java.io.ObjectStreamClass$WeakClassKey: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.lang.Thread$WeakClassKey::r3::<java.lang.Thread$WeakClassKey: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.lang.reflect.Proxy$Key1::r3::<java.lang.reflect.Proxy$Key1: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.lang.reflect.Proxy$Key2::r3::<java.lang.reflect.Proxy$Key2: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.io.ObjectStreamClass$FieldReflectorKey::r3::<java.io.ObjectStreamClass$FieldReflectorKey: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.lang.reflect.WeakCache$CacheValue::r3::<java.lang.reflect.WeakCache$CacheValue: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.lang.reflect.WeakCache$CacheKey::r3::<java.lang.reflect.WeakCache$CacheKey: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.util.WeakHashMap$Entry::r3::<java.util.WeakHashMap$Entry: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.lang.invoke.MethodType$ConcurrentWeakInternSet$WeakEntry::r3::<java.lang.invoke.MethodType$ConcurrentWeakInternSet$WeakEntry: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::com.sun.jmx.mbeanserver.WeakIdentityHashMap$IdentityWeakReference::r3::<com.sun.jmx.mbeanserver.WeakIdentityHashMap$IdentityWeakReference: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.nio.charset.Charset::r3::<java.nio.charset.Charset: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.util.Locale::r3::<java.util.Locale: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.io.File::r3::<java.io.File: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.util.IdentityHashMap::r3::<java.util.IdentityHashMap: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.util.concurrent.ConcurrentHashMap::r3::<java.util.concurrent.ConcurrentHashMap: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.util.Collections$EmptyMap::r3::<java.util.Collections$EmptyMap: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.util.EnumMap::r3::<java.util.EnumMap: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.util.AbstractMap::r3::<java.util.AbstractMap: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.net.URL::r3::<java.net.URL: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.util.jar.JarVerifier$VerifierCodeSource::r3::<java.util.jar.JarVerifier$VerifierCodeSource: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.security.CodeSource::r3::<java.security.CodeSource: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.security.cert.Certificate::r3::<java.security.cert.Certificate: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.util.Collections$SynchronizedSet::r3::<java.util.Collections$SynchronizedSet: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.util.Collections$SynchronizedList::r3::<java.util.Collections$SynchronizedList: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.util.Collections$CheckedList::r3::<java.util.Collections$CheckedList: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.util.Collections$CheckedSet::r3::<java.util.Collections$CheckedSet: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.util.Collections$CheckedQueue::r3::<java.util.Collections$CheckedQueue: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.util.Collections$SynchronizedMap::r3::<java.util.Collections$SynchronizedMap: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.util.Collections$ReverseComparator2::r3::<java.util.Collections$ReverseComparator2: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.util.Collections$UnmodifiableMap::r3::<java.util.Collections$UnmodifiableMap: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.util.Collections$UnmodifiableList::r3::<java.util.Collections$UnmodifiableList: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.util.Collections$UnmodifiableMap$UnmodifiableEntrySet::r3::<java.util.Collections$UnmodifiableMap$UnmodifiableEntrySet: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.util.Collections$UnmodifiableSet::r3::<java.util.Collections$UnmodifiableSet: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.util.Collections$CheckedMap::r3::<java.util.Collections$CheckedMap: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.lang.Integer::r3::<java.lang.Integer: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.lang.Float::r3::<java.lang.Float: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.lang.Long::r3::<java.lang.Long: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.lang.Double::r3::<java.lang.Double: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.lang.Short::r3::<java.lang.Short: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.lang.Byte::r3::<java.lang.Byte: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::spec.benchmarks.serial.data.TestBigInteger::r3::<spec.benchmarks.serial.data.TestBigInteger: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.math.BigInteger::r3::<java.math.BigInteger: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.math.BigDecimal::r3::<java.math.BigDecimal: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::sun.misc.Signal::r3::<sun.misc.Signal: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.lang.ProcessEnvironment$Value::r3::<java.lang.ProcessEnvironment$Value: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.lang.ProcessEnvironment$Variable::r3::<java.lang.ProcessEnvironment$Variable: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.lang.ProcessEnvironment$ExternalData::r3::<java.lang.ProcessEnvironment$ExternalData: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.lang.ProcessEnvironment$StringEntry::r3::<java.lang.ProcessEnvironment$StringEntry: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.util.Date::r3::<java.util.Date: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.net.Inet4Address::r3::<java.net.Inet4Address: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.net.Inet6Address::r3::<java.net.Inet6Address: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.net.InetAddress::r3::<java.net.InetAddress: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.lang.Character$Subset::r3::<java.lang.Character$Subset: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.lang.invoke.MethodType::r3::<java.lang.invoke.MethodType: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.lang.invoke.MemberName::r3::<java.lang.invoke.MemberName: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.lang.invoke.LambdaForm::r3::<java.lang.invoke.LambdaForm: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.lang.reflect.Proxy$KeyX::r3::<java.lang.reflect.Proxy$KeyX: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.lang.reflect.Field::r3::<java.lang.reflect.Field: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.lang.reflect.Constructor::r3::<java.lang.reflect.Constructor: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.lang.reflect.Method::r3::<java.lang.reflect.Method: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.util.HashMap$Node::r3::<java.util.HashMap$Node: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.util.Vector::r3::<java.util.Vector: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.util.Collections$CopiesList::r3::<java.util.Collections$CopiesList: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.util.Collections$EmptyList::r3::<java.util.Collections$EmptyList: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.util.AbstractList::r3::<java.util.AbstractList: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.lang.ProcessEnvironment$StringValues::r3::<java.lang.ProcessEnvironment$StringValues: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.util.Collections$SetFromMap::r3::<java.util.Collections$SetFromMap: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.lang.ProcessEnvironment$StringEntrySet::r3::<java.lang.ProcessEnvironment$StringEntrySet: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.util.RegularEnumSet::r3::<java.util.RegularEnumSet: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.util.JumboEnumSet::r3::<java.util.JumboEnumSet: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.util.AbstractSet::r3::<java.util.AbstractSet: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.nio.ByteBuffer::r3::<java.nio.ByteBuffer: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.nio.LongBuffer::r3::<java.nio.LongBuffer: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.nio.CharBuffer::r3::<java.nio.CharBuffer: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.nio.ShortBuffer::r3::<java.nio.ShortBuffer: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.nio.IntBuffer::r3::<java.nio.IntBuffer: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.nio.FloatBuffer::r3::<java.nio.FloatBuffer: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.nio.DoubleBuffer::r3::<java.nio.DoubleBuffer: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.text.DecimalFormatSymbols::r3::<java.text.DecimalFormatSymbols: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::sun.util.locale.BaseLocale::r3::<sun.util.locale.BaseLocale: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::sun.util.locale.LocaleExtensions::r3::<sun.util.locale.LocaleExtensions: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.util.Locale$LanguageRange::r3::<java.util.Locale$LanguageRange: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.util.Locale$LocaleKey::r3::<java.util.Locale$LocaleKey: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::sun.util.locale.provider.RuleBasedBreakIterator::r3::<sun.util.locale.provider.RuleBasedBreakIterator: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.net.URI::r3::<java.net.URI: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.util.AbstractMap$SimpleImmutableEntry::r3::<java.util.AbstractMap$SimpleImmutableEntry: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.util.AbstractMap$SimpleEntry::r3::<java.util.AbstractMap$SimpleEntry: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.util.IdentityHashMap$EntryIterator$Entry::r3::<java.util.IdentityHashMap$EntryIterator$Entry: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.lang.reflect.Parameter::r3::<java.lang.reflect.Parameter: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.security.CodeSigner::r3::<java.security.CodeSigner: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.security.cert.CertPath::r3::<java.security.cert.CertPath: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.security.Timestamp::r3::<java.security.Timestamp: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.net.Proxy::r3::<java.net.Proxy: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.net.InetSocketAddress::r3::<java.net.InetSocketAddress: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::sun.reflect.generics.reflectiveObjects.GenericArrayTypeImpl::r3::<sun.reflect.generics.reflectiveObjects.GenericArrayTypeImpl: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::sun.reflect.generics.reflectiveObjects.ParameterizedTypeImpl::r3::<sun.reflect.generics.reflectiveObjects.ParameterizedTypeImpl: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.util.jar.Manifest::r3::<java.util.jar.Manifest: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.util.jar.Attributes$Name::r3::<java.util.jar.Attributes$Name: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.util.jar.Attributes::r3::<java.util.jar.Attributes: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.util.concurrent.ConcurrentHashMap$Node::r3::<java.util.concurrent.ConcurrentHashMap$Node: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.util.concurrent.ConcurrentHashMap$MapEntry::r3::<java.util.concurrent.ConcurrentHashMap$MapEntry: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.util.concurrent.ConcurrentHashMap$KeySetView::r3::<java.util.concurrent.ConcurrentHashMap$KeySetView: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.util.concurrent.ConcurrentHashMap$EntrySetView::r3::<java.util.concurrent.ConcurrentHashMap$EntrySetView: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::javax.security.auth.Subject::r3::<javax.security.auth.Subject: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.util.Hashtable::r3::<java.util.Hashtable: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.util.Hashtable$Entry::r3::<java.util.Hashtable$Entry: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.util.Collections$UnmodifiableMap$UnmodifiableEntrySet$UnmodifiableEntry::r3::<java.util.Collections$UnmodifiableMap$UnmodifiableEntrySet$UnmodifiableEntry: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.util.Collections$CheckedMap$CheckedEntrySet$CheckedEntry::r3::<java.util.Collections$CheckedMap$CheckedEntrySet$CheckedEntry: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.util.Collections$CheckedMap$CheckedEntrySet::r3::<java.util.Collections$CheckedMap$CheckedEntrySet: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.net.HttpCookie::r3::<java.net.HttpCookie: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.lang.ProcessBuilder$Redirect::r3::<java.lang.ProcessBuilder$Redirect: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.time.Instant::r3::<java.time.Instant: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::sun.util.calendar.ImmutableGregorianDate::r3::<sun.util.calendar.ImmutableGregorianDate: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::sun.util.calendar.CalendarDate::r3::<sun.util.calendar.CalendarDate: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::sun.util.calendar.Era::r3::<sun.util.calendar.Era: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::sun.util.calendar.ZoneInfo::r3::<sun.util.calendar.ZoneInfo: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.util.SimpleTimeZone::r3::<java.util.SimpleTimeZone: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.net.NetworkInterface::r3::<java.net.NetworkInterface: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.util.Optional::r3::<java.util.Optional: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.lang.invoke.LambdaForm$Name::r3::<java.lang.invoke.LambdaForm$Name: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.lang.invoke.LambdaForm$NamedFunction::r3::<java.lang.invoke.LambdaForm$NamedFunction: boolean equals(java.lang.Object)>::89
